uav_count,router,packet_delivery_ratio_mean,packet_delivery_ratio_ci95,avg_delivery_latency_steps_mean,avg_delivery_latency_steps_ci95,avg_hops_per_delivered_mean,avg_hops_per_delivered_ci95,avg_total_queue_length_mean,avg_total_queue_length_ci95,transmission_attempts_mean,transmission_attempts_ci95,avg_success_rate_mean,avg_success_rate_ci95
16,slar-default,0.6208333333333332,0.12954683061835046,10.96190732606174,2.4512640303009774,2.565855862547039,0.21988050124989264,3.746666666666666,0.5273904752639401,115.33333333333333,22.410278846405472,0.44272842477683455,0.09271832698785763
16,slar-geo,0.625,0.14992815453347869,10.039953894288258,2.0835633051809435,2.4286498675043564,0.290139001815065,3.6666666666666665,0.48834743778148376,116.08333333333333,20.26395295051987,0.39596038779645465,0.03860510499984668
16,slar-tuned,0.7124999999999999,0.14407693036892802,11.795311748436747,2.2167772901053935,3.017009854180907,0.1586424613119193,3.4483333333333337,0.6493716327176194,92.83333333333333,15.373113820699555,0.607707699265921,0.0802769776050208
20,aodv,0.7416666666666666,0.1501319998411258,10.845709634864045,2.8016440448758573,2.880224779305662,0.5294475305296088,3.3008333333333337,0.5748505164591765,129.0,23.27569991021215,0.4326969805013958,0.07383735398347265
20,gpsr,0.7916666666666666,0.1247666220006263,11.175651547168576,2.4256469794515123,2.4223897673104324,0.18073926792748166,2.9774999999999996,0.7232522047284792,120.0,12.51533140413283,0.4062394223725853,0.0430150598285349
20,slar-default,0.8208333333333333,0.12375136692462232,9.6580825807606,2.639783474183475,2.697034606690179,0.12892081912960374,2.6108333333333333,0.7225634723217423,99.0,13.453698249201034,0.539490220572408,0.05361888337298459
20,slar-geo,0.7916666666666666,0.1247666220006263,11.175651547168576,2.4256469794515123,2.4223897673104324,0.18073926792748166,2.9774999999999996,0.7232522047284792,120.0,12.51533140413283,0.4062394223725853,0.0430150598285349
20,slar-tuned,0.7749999999999999,0.12886632411777074,8.949261066733978,2.012159950384284,2.9027601451266314,0.1855768224259347,2.7449999999999997,0.7056869259303326,95.16666666666667,11.721379711258844,0.615936557895308,0.0798370912530535
24,aodv,0.8708333333333332,0.10705583582131999,9.778737489147705,2.239184746536147,3.218588341769456,0.5326148869461459,2.4441666666666664,0.7021675707313452,131.91666666666666,27.130777130485416,0.48150531988473316,0.037409904454579875
24,gpsr,0.8916666666666667,0.06472913588143513,10.725879240585122,1.4851377746594472,2.791607081429063,0.20672438029255927,2.5775,0.40744917853189555,135.91666666666666,12.903589840653009,0.4087747695463267,0.038615998391968005
24,slar-default,0.8791666666666665,0.09429732814451336,8.555515422543287,1.522499020717608,3.005853686503842,0.24364082945546972,2.2533333333333334,0.5048133544606508,114.66666666666667,11.328104991630651,0.5229310846539347,0.06165864988014376
24,slar-geo,0.8916666666666667,0.06472913588143513,10.725879240585122,1.4851377746594472,2.791607081429063,0.20672438029255927,2.5775,0.40744917853189555,135.91666666666666,12.903589840653009,0.4087747695463267,0.038615998391968005
24,slar-tuned,0.8958333333333334,0.07951742077674955,7.3081215600275184,1.8169081327759093,3.3193820949432404,0.251368763806942,1.946666666666667,0.560955798908821,99.66666666666667,14.031416621419803,0.6744369525926089,0.055350587157182746
28,aodv,0.8875000000000002,0.07183918827384676,9.199427277658701,1.9551258686358517,2.8821996584283736,0.183073310955726,2.308333333333333,0.6036214695971586,138.08333333333334,22.193267030836402,0.43288788797383676,0.06654578206128937
28,gpsr,0.8874999999999998,0.06371721581476149,8.792640455304928,1.359971317878648,2.5944853453077137,0.25435747540977277,2.2441666666666666,0.4568356520428623,140.33333333333334,17.681371989298317,0.37531130926889267,0.04766980681700303
